un défi;eine Herausforderung
définir qc;"etw. bestimmen; etw. definieren"
écologiste (fam: écolo);umweltbewusst
un geste;eine Geste
simple;einfach
passionné/passionnée de;begeistert von
les nouvelles technologies;die neuen Medien
la programmation;die Programmierung
un utilisateur/une utilisatrice;"ein Nutzer/eine Nutzerin; ein Benutzer/eine Benutzerin; ein Anwender/eine Anwenderin"
lequel/ laquelle/ lesquels/ lesquelles;welcher/welche/welches (Fragepronomen)
un calendrier;ein Kalender
une saison;eine Jahreszeit
un autocollant;ein Aufkleber
une boîte aux lettres;"ein Briefkasten; ein Postfach"
surveiller qn/qc;jdn./etw. überwachen
le quotidien;der Alltag
au quotidien;im Alltag
actif/active;aktiv
se décourager;den Mut verlieren
remotiver qn;jdn. wieder motivieren
impossible;unmöglich
une production;eine Produktion
la vie de tous les jours;der Alltag
même si;auch wenn
continuer à faire qc;"weitermachen, etw. zu tun; fortfahren, etw. zu tun"
fuir;"fliehen; flüchten"
;
;
;
;
;
;
;
